55 Cnc b, 14.65167, 14.65137, 265.02729999999997, 262.9297, 0.0066, 0.00019999999999999966, 12.5979, 12.5732
55 Cnc b, 14.6489, 14.6471, -1, -1, 0.064, 0.038, 12.5979, 12.5732
55 Cnc b, -1, -1, -1, -1, -1, -1, 12.5979, 12.5732
55 Cnc b, 14.6511, 14.6509, -1, -1, 0.007, 0.001, 12.5979, 12.5732
55 Cnc c, 44.403099999999995, 44.3946, -1, -1, 0.05, 0.009999999999999998, 12.5979, 12.5732
55 Cnc c, 44.393, 44.355, 65.4385, 54.219500000000004, 0.08499999999999999, 0.057999999999999996, 12.5979, 12.5732
55 Cnc c, 44.3857, 44.371700000000004, -1, -1, 0.105, 0.0010000000000000009, 12.5979, 12.5732
55 Cnc c, 44.18, 43.68, -1, -1, 0.52, 0.36, 12.5979, 12.5732
55 Cnc c, 44.3865, 44.3789, -1, -1, 0.079, 0.019, 12.5979, 12.5732
55 Cnc c, 44.387, 44.373000000000005, -1, -1, 0.09000000000000001, 0.05, 12.5979, 12.5732
55 Cnc c, 44.3516, 44.3376, -1, -1, 0.13799999999999998, 0.033999999999999996, 12.5979, 12.5732
55 Cnc c, 44.4248, 44.410199999999996, 56.221799999999995, 52.7258, 0.051000000000000004, -0.011, 12.5979, 12.5732
55 Cnc d, 4892.0, 4841.0, 1417.46, 1179.1, 0.033, 0.0204, 12.5979, 12.5732
55 Cnc d, 5600.0, 5140.0, -1, -1, 0.093, 0.033, 12.5979, 12.5732
55 Cnc d, 5966.0, 3124.0, -1, -1, 0.37, 0.10999999999999999, 12.5979, 12.5732
55 Cnc d, 4595.2, 4439.599999999999, -1, -1, 0.607, 0.046999999999999986, 12.5979, 12.5732
55 Cnc d, 4864.0, 4786.0, 1254.105, 1210.8809999999999, 0.032, 0.006, 12.5979, 12.5732
55 Cnc d, 5668.0, 5485.599999999999, -1, -1, 0.15, 0.11, 12.5979, 12.5732
55 Cnc d, 4897.0, 4748.0, -1, -1, 0.15400000000000003, 0.12300000000000001, 12.5979, 12.5732
55 Cnc d, 5760.0, 4960.0, -1, -1, 0.22, 0.1, 12.5979, 12.5732
55 Cnc d, 4939.0, 4879.0, -1, -1, 0.028, 0.012, 12.5979, 12.5732
55 Cnc d, 5448.0, 4988.0, -1, -1, 0.055, -0.0049999999999999975, 12.5979, 12.5732
55 Cnc e, 0.7365487, 0.7365459999999999, 8.31, 7.66, 0.08, 0.020000000000000004, 12.5979, 12.5732
55 Cnc e, 0.7365442, 0.7365389, -1, -1, -1, -1, 12.5979, 12.5732
55 Cnc e, 0.7365494, 0.7365465999999999, 8.3554, 7.837359999999999, 0.05, 0.009000000000000001, 12.5979, 12.5732
55 Cnc e, 0.73654683, 0.73654481, -1, -1, -1, -1, 12.5979, 12.5732
55 Cnc e, 0.736546, 0.7365320000000001, 8.39, 7.7700000000000005, -1, -1, 12.5979, 12.5732
55 Cnc e, 0.7365462, 0.73654588, -1, -1, -1, -1, 12.5979, 12.5732
55 Cnc e, -1, -1, -1, -1, -1, -1, 12.5979, 12.5732
55 Cnc e, 0.7365489000000001, 0.7365385, 8.389999999999999, 7.279999999999999, 0.126, 0.018000000000000002, 12.5979, 12.5732
55 Cnc e, -1, -1, 8.11, 7.44, -1, -1, 12.5979, 12.5732
55 Cnc e, 2.8099999999999996, 2.806, -1, -1, 0.301, 0.046999999999999986, 12.5979, 12.5732
55 Cnc e, 0.736553, 0.73655, 8.37129, 7.90727, 0.067, 0.013000000000000001, 12.5979, 12.5732
55 Cnc e, 0.736549, 0.7365430000000001, 8.75, 7.989999999999999, -1, -1, 12.5979, 12.5732
55 Cnc e, -1, -1, 8.39, 7.7700000000000005, -1, -1, 12.5979, 12.5732
55 Cnc e, 2.79684, 2.7966399999999996, -1, -1, 0.324, 0.20400000000000001, 12.5979, 12.5732
55 Cnc e, 0.7365487, 0.7365461, 9.02, 8.16, -1, -1, 12.5979, 12.5732
55 Cnc e, 0.736543, 0.736537, 8.98, 8.280000000000001, -1, -1, 12.5979, 12.5732
55 Cnc e, 0.7365459000000001, 0.7365430000000001, -1, -1, 0.07, 0.010999999999999996, 12.5979, 12.5732
55 Cnc e, 0.7365463999999999, 0.7365461, -1, -1, -1, -1, 12.5979, 12.5732
55 Cnc f, 260.17, 259.59, -1, -1, 0.13, 0.04, 12.5979, 12.5732
55 Cnc f, 261.27000000000004, 260.55, 53.9653, 44.0494, 0.182, 0.023, 12.5979, 12.5732
55 Cnc f, 261.59999999999997, 260.8, -1, -1, 0.37, 0.27, 12.5979, 12.5732
55 Cnc f, 261.22, 260.74, -1, -1, 0.20199999999999999, 0.07599999999999998, 12.5979, 12.5732
55 Cnc f, 261.1, 258.9, -1, -1, 0.4, 0.0, 12.5979, 12.5732
